α_weak	α_strong	α	gam_neg	shape	analysis	method
0.0130594	0.110776	0.132974	584.33	0.135241	bt_moderate_0.999	abc_mk
0.0161754	0.0959408	0.121209	621.191	0.135306	bt_moderate_0.999	abc_mk
0.0137722	0.0903858	0.111093	572.681	0.135669	bt_moderate_0.999	abc_mk
0.0154974	0.112205	0.13421	356.949	0.144478	bt_moderate_0.999	abc_mk
0.0173871	0.0935567	0.114618	585.614	0.136057	bt_moderate_0.999	abc_mk
0.0181193	0.100471	0.123019	356.782	0.137032	bt_moderate_0.999	abc_mk
0.0154227	0.0882974	0.109986	347.152	0.126116	bt_moderate_0.999	abc_mk
0.014195	0.116439	0.138727	574.511	0.140236	bt_moderate_0.999	abc_mk
0.0133677	0.103264	0.123915	474.555	0.159691	bt_moderate_0.999	abc_mk
0.0128248	0.118241	0.131013	568.068	0.141782	bt_moderate_0.999	abc_mk
0.0096411	0.139718	0.153928	518.756	0.14843	bt_moderate_0.999	abc_mk
0.0186627	0.119573	0.1524	376.345	0.143274	bt_moderate_0.999	abc_mk
0.0170798	0.100772	0.121224	562.315	0.132868	bt_moderate_0.999	abc_mk
0.0187255	0.0979084	0.12656	606.818	0.137076	bt_moderate_0.999	abc_mk
0.0189461	0.0974045	0.120387	599.199	0.134995	bt_moderate_0.999	abc_mk
0.0152546	0.0887324	0.108629	597.902	0.137201	bt_moderate_0.999	abc_mk
0.0140385	0.106458	0.128773	602.722	0.144614	bt_moderate_0.999	abc_mk
0.0141528	0.081565	0.101249	573.528	0.130639	bt_moderate_0.999	abc_mk
0.017915	0.0855768	0.111789	364.326	0.131111	bt_moderate_0.999	abc_mk
0.0129069	0.108415	0.120221	606.51	0.127676	bt_moderate_0.999	abc_mk
0.0195204	0.0813431	0.114789	600.797	0.132644	bt_moderate_0.999	abc_mk
0.012615	0.105383	0.118408	615.621	0.148282	bt_moderate_0.999	abc_mk
0.0170755	0.085579	0.11148	576.047	0.132075	bt_moderate_0.999	abc_mk
0.0135175	0.102767	0.115339	635.463	0.136147	bt_moderate_0.999	abc_mk
0.0158807	0.0836058	0.107509	615.277	0.137237	bt_moderate_0.999	abc_mk
0.0159883	0.10673	0.130834	366.048	0.133694	bt_moderate_0.999	abc_mk
0.0121079	0.11137	0.128302	595.387	0.134476	bt_moderate_0.999	abc_mk
0.0104679	0.109398	0.128232	514.461	0.148271	bt_moderate_0.999	abc_mk
0.0144175	0.0928912	0.115125	603.486	0.138256	bt_moderate_0.999	abc_mk
0.0162748	0.101512	0.12568	357.545	0.136138	bt_moderate_0.999	abc_mk
0.0165834	0.0975767	0.110999	602.884	0.131635	bt_moderate_0.999	abc_mk
0.0175646	0.0911052	0.114617	587.765	0.135134	bt_moderate_0.999	abc_mk
0.011984	0.0937779	0.115604	586.692	0.137019	bt_moderate_0.999	abc_mk
0.0145636	0.108254	0.128521	552.649	0.138947	bt_moderate_0.999	abc_mk
0.015185	0.115343	0.135271	611.076	0.139631	bt_moderate_0.999	abc_mk
0.021822	0.0915704	0.123733	608.49	0.133403	bt_moderate_0.999	abc_mk
0.0135535	0.108211	0.14008	640.542	0.145252	bt_moderate_0.999	abc_mk
0.0124637	0.112297	0.12264	598.901	0.146808	bt_moderate_0.999	abc_mk
0.0158873	0.0824026	0.100223	606.072	0.138256	bt_moderate_0.999	abc_mk
0.0121785	0.114473	0.124473	617.603	0.135754	bt_moderate_0.999	abc_mk
0.013315	0.0977497	0.114519	600.784	0.130154	bt_moderate_0.999	abc_mk
0.00945937	0.193787	0.141105	500.486	0.145152	bt_moderate_0.999	abc_mk
0.0140818	0.0867263	0.0997431	356.602	0.132742	bt_moderate_0.999	abc_mk
0.015339	0.0924642	0.114167	578.233	0.140931	bt_moderate_0.999	abc_mk
0.0188692	0.106322	0.138021	582.376	0.139287	bt_moderate_0.999	abc_mk
0.0155919	0.0943454	0.120552	602.959	0.134589	bt_moderate_0.999	abc_mk
0.0176079	0.118749	0.141141	611.434	0.140282	bt_moderate_0.999	abc_mk
0.0160154	0.100832	0.123101	617.666	0.141784	bt_moderate_0.999	abc_mk
