f	alphas	sfs	path
15	0.11932118286696913	nopos	noDemog_0.4_0.3_0.4
16	0.12514405720151733	nopos	noDemog_0.4_0.3_0.4
17	0.12919992209553255	nopos	noDemog_0.4_0.3_0.4
18	0.1339219073188309	nopos	noDemog_0.4_0.3_0.4
19	0.136218778855545	nopos	noDemog_0.4_0.3_0.4
20	0.14225684366827218	nopos	noDemog_0.4_0.3_0.4
21	0.14515277070929444	nopos	noDemog_0.4_0.3_0.4
22	0.14942096096614055	nopos	noDemog_0.4_0.3_0.4
23	0.1521619431687241	nopos	noDemog_0.4_0.3_0.4
24	0.1523607032093265	nopos	noDemog_0.4_0.3_0.4
25	0.15472424724928913	nopos	noDemog_0.4_0.3_0.4
26	0.1592245594183268	nopos	noDemog_0.4_0.3_0.4
27	0.15987034154976976	nopos	noDemog_0.4_0.3_0.4
28	0.16097779299647397	nopos	noDemog_0.4_0.3_0.4
29	0.16425452219097214	nopos	noDemog_0.4_0.3_0.4
30	0.1648821747487157	nopos	noDemog_0.4_0.3_0.4
31	0.16443637861478155	nopos	noDemog_0.4_0.3_0.4
32	0.16663790903350328	nopos	noDemog_0.4_0.3_0.4
33	0.16887081265279502	nopos	noDemog_0.4_0.3_0.4
34	0.169550288466068	nopos	noDemog_0.4_0.3_0.4
35	0.1724297718984401	nopos	noDemog_0.4_0.3_0.4
36	0.17418835272676325	nopos	noDemog_0.4_0.3_0.4
37	0.17501010518428928	nopos	noDemog_0.4_0.3_0.4
38	0.18015794962471376	nopos	noDemog_0.4_0.3_0.4
39	0.1805259742684464	nopos	noDemog_0.4_0.3_0.4
40	0.18368060528070873	nopos	noDemog_0.4_0.3_0.4
41	0.18426906558094303	nopos	noDemog_0.4_0.3_0.4
42	0.18441899980839194	nopos	noDemog_0.4_0.3_0.4
43	0.18359693894030538	nopos	noDemog_0.4_0.3_0.4
44	0.1854114628108421	nopos	noDemog_0.4_0.3_0.4
45	0.1857962726049991	nopos	noDemog_0.4_0.3_0.4
46	0.18584941111305409	nopos	noDemog_0.4_0.3_0.4
47	0.18818016814878746	nopos	noDemog_0.4_0.3_0.4
48	0.19078358028110154	nopos	noDemog_0.4_0.3_0.4
49	0.19032256412211124	nopos	noDemog_0.4_0.3_0.4
50	0.19284956623044291	nopos	noDemog_0.4_0.3_0.4
51	0.19390136647441747	nopos	noDemog_0.4_0.3_0.4
52	0.1937168292652397	nopos	noDemog_0.4_0.3_0.4
53	0.19439225857075704	nopos	noDemog_0.4_0.3_0.4
54	0.19441739612339115	nopos	noDemog_0.4_0.3_0.4
55	0.19576901312175188	nopos	noDemog_0.4_0.3_0.4
56	0.19777400704208792	nopos	noDemog_0.4_0.3_0.4
57	0.19446764255948046	nopos	noDemog_0.4_0.3_0.4
58	0.19827672019491194	nopos	noDemog_0.4_0.3_0.4
59	0.2004181879752629	nopos	noDemog_0.4_0.3_0.4
60	0.20001803548502683	nopos	noDemog_0.4_0.3_0.4
61	0.20006820361065747	nopos	noDemog_0.4_0.3_0.4
62	0.19716884452865013	nopos	noDemog_0.4_0.3_0.4
63	0.19923709136069712	nopos	noDemog_0.4_0.3_0.4
64	0.197352236831424	nopos	noDemog_0.4_0.3_0.4
65	0.20192512130590312	nopos	noDemog_0.4_0.3_0.4
66	0.20014489751036169	nopos	noDemog_0.4_0.3_0.4
67	0.19797464693608546	nopos	noDemog_0.4_0.3_0.4
68	0.20376049840705868	nopos	noDemog_0.4_0.3_0.4
69	0.20207476459486207	nopos	noDemog_0.4_0.3_0.4
70	0.20192820100948394	nopos	noDemog_0.4_0.3_0.4
71	0.20443758699345194	nopos	noDemog_0.4_0.3_0.4
72	0.2066068142698153	nopos	noDemog_0.4_0.3_0.4
73	0.2064906512850817	nopos	noDemog_0.4_0.3_0.4
74	0.20723006574416503	nopos	noDemog_0.4_0.3_0.4
75	0.2125097964619851	nopos	noDemog_0.4_0.3_0.4
76	0.21232157697326337	nopos	noDemog_0.4_0.3_0.4
77	0.2093656851572373	nopos	noDemog_0.4_0.3_0.4
78	0.2076352625389405	nopos	noDemog_0.4_0.3_0.4
79	0.2057863435749836	nopos	noDemog_0.4_0.3_0.4
80	0.20899327144322744	nopos	noDemog_0.4_0.3_0.4
81	0.21161412175371497	nopos	noDemog_0.4_0.3_0.4
82	0.20493281354818693	nopos	noDemog_0.4_0.3_0.4
83	0.19960131359843747	nopos	noDemog_0.4_0.3_0.4
84	0.19062856164004605	nopos	noDemog_0.4_0.3_0.4
85	0.19634077539082617	nopos	noDemog_0.4_0.3_0.4
86	0.19803854597610882	nopos	noDemog_0.4_0.3_0.4
87	0.1836877305268313	nopos	noDemog_0.4_0.3_0.4
88	0.17377508676827425	nopos	noDemog_0.4_0.3_0.4
89	0.1788648645578016	nopos	noDemog_0.4_0.3_0.4
90	0.16551995870476421	nopos	noDemog_0.4_0.3_0.4
91	0.17289137483884653	nopos	noDemog_0.4_0.3_0.4
92	0.16785482308860478	nopos	noDemog_0.4_0.3_0.4
93	0.1792638347863783	nopos	noDemog_0.4_0.3_0.4
94	0.1799234933648427	nopos	noDemog_0.4_0.3_0.4
95	0.17851034666695764	nopos	noDemog_0.4_0.3_0.4
96	0.19379613970713705	nopos	noDemog_0.4_0.3_0.4
97	0.21363938415638728	nopos	noDemog_0.4_0.3_0.4
98	0.15207334350196455	nopos	noDemog_0.4_0.3_0.4
99	0.18225680176061532	nopos	noDemog_0.4_0.3_0.4
100	0.18442916687833744	nopos	noDemog_0.4_0.3_0.4
1	-0.5522260568562991	nopos	noDemog_0.4_0.3_0.4
2	-0.10456543536657192	nopos	noDemog_0.4_0.3_0.4
3	-0.03641214715650509	nopos	noDemog_0.4_0.3_0.4
4	0.0020543584253633895	nopos	noDemog_0.4_0.3_0.4
5	0.025602092583247416	nopos	noDemog_0.4_0.3_0.4
6	0.04332554614446393	nopos	noDemog_0.4_0.3_0.4
7	0.05762091501738875	nopos	noDemog_0.4_0.3_0.4
8	0.07063658190360356	nopos	noDemog_0.4_0.3_0.4
9	0.07936578649788595	nopos	noDemog_0.4_0.3_0.4
10	0.08842334266258722	nopos	noDemog_0.4_0.3_0.4
11	0.09485279076939057	nopos	noDemog_0.4_0.3_0.4
12	0.09988843232112032	nopos	noDemog_0.4_0.3_0.4
13	0.1075624162602602	nopos	noDemog_0.4_0.3_0.4
14	0.11487083467299042	nopos	noDemog_0.4_0.3_0.4
15	0.11932118286696913	nopos	noDemog_0.4_0.3_0.4
16	0.12514405720151733	nopos	noDemog_0.4_0.3_0.4
17	0.12919992209553255	nopos	noDemog_0.4_0.3_0.4
18	0.1339219073188309	nopos	noDemog_0.4_0.3_0.4
19	0.136218778855545	nopos	noDemog_0.4_0.3_0.4
20	0.14225684366827218	nopos	noDemog_0.4_0.3_0.4
21	0.14515277070929444	nopos	noDemog_0.4_0.3_0.4
22	0.14942096096614055	nopos	noDemog_0.4_0.3_0.4
23	0.1521619431687241	nopos	noDemog_0.4_0.3_0.4
24	0.1523607032093265	nopos	noDemog_0.4_0.3_0.4
25	0.15472424724928913	nopos	noDemog_0.4_0.3_0.4
26	0.1592245594183268	nopos	noDemog_0.4_0.3_0.4
27	0.15987034154976976	nopos	noDemog_0.4_0.3_0.4
28	0.16097779299647397	nopos	noDemog_0.4_0.3_0.4
29	0.16425452219097214	nopos	noDemog_0.4_0.3_0.4
30	0.1648821747487157	nopos	noDemog_0.4_0.3_0.4
31	0.16443637861478155	nopos	noDemog_0.4_0.3_0.4
32	0.16663790903350328	nopos	noDemog_0.4_0.3_0.4
