α_weak,α_strong,α,gam_neg,shape,analysis,method
0.155692,0.265258,0.406851,614.407,0.174324,isolation_0.4_0.1_0.8,abc_mk
0.115588,0.292846,0.396879,629.35,0.169739,isolation_0.4_0.1_0.8,abc_mk
0.0916458,0.303174,0.379041,607.71,0.166625,isolation_0.4_0.1_0.8,abc_mk
0.115141,0.288847,0.392334,629.354,0.168208,isolation_0.4_0.1_0.8,abc_mk
0.137502,0.261127,0.387693,636.87,0.167645,isolation_0.4_0.1_0.8,abc_mk
0.143392,0.264092,0.391446,645.451,0.168545,isolation_0.4_0.1_0.8,abc_mk
0.138813,0.277914,0.40014,647.968,0.173093,isolation_0.4_0.1_0.8,abc_mk
0.114684,0.277922,0.386785,623.47,0.168413,isolation_0.4_0.1_0.8,abc_mk
0.171048,0.245089,0.413976,609.488,0.174786,isolation_0.4_0.1_0.8,abc_mk
0.0715433,0.322752,0.378378,648.76,0.16102,isolation_0.4_0.1_0.8,abc_mk
0.126386,0.278826,0.38862,587.481,0.166615,isolation_0.4_0.1_0.8,abc_mk
0.149809,0.262507,0.401981,616.138,0.17203,isolation_0.4_0.1_0.8,abc_mk
0.0494133,0.316485,0.368206,636.033,0.160641,isolation_0.4_0.1_0.8,abc_mk
0.108855,0.299436,0.397946,623.856,0.170359,isolation_0.4_0.1_0.8,abc_mk
0.0868696,0.319414,0.393095,621.405,0.167166,isolation_0.4_0.1_0.8,abc_mk
0.10786,0.289615,0.38618,608.872,0.166344,isolation_0.4_0.1_0.8,abc_mk
0.112878,0.281297,0.38451,631.852,0.164016,isolation_0.4_0.1_0.8,abc_mk
0.0883189,0.308008,0.38378,624.209,0.165256,isolation_0.4_0.1_0.8,abc_mk
0.116908,0.293614,0.390999,601.908,0.164463,isolation_0.4_0.1_0.8,abc_mk
0.12135,0.29116,0.395138,602.781,0.168598,isolation_0.4_0.1_0.8,abc_mk
0.153291,0.272245,0.39813,601.687,0.173075,isolation_0.4_0.1_0.8,abc_mk
0.161876,0.257459,0.396382,597.024,0.170477,isolation_0.4_0.1_0.8,abc_mk
0.109287,0.295018,0.389678,637.177,0.171472,isolation_0.4_0.1_0.8,abc_mk
0.128638,0.279394,0.400207,631.829,0.17103,isolation_0.4_0.1_0.8,abc_mk
0.11189,0.279463,0.386278,660.192,0.166489,isolation_0.4_0.1_0.8,abc_mk
0.0967486,0.30169,0.389844,613.512,0.169194,isolation_0.4_0.1_0.8,abc_mk
0.12501,0.276749,0.389439,618.87,0.168272,isolation_0.4_0.1_0.8,abc_mk
0.0924279,0.295913,0.379501,600.508,0.165301,isolation_0.4_0.1_0.8,abc_mk
