method	w	b	analysis	aw	as	a
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06842	0.1096	0.17802
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06838	0.10938	0.17777
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06831	0.10933	0.17764
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06846	0.10925	0.17771
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06855	0.109	0.17755
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06823	0.10954	0.17777
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06846	0.10952	0.17798
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06834	0.10907	0.17741
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06852	0.10917	0.17769
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06802	0.10933	0.17735
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06836	0.10942	0.17778
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06835	0.10963	0.17798
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06838	0.10946	0.17784
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06839	0.10948	0.17787
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.0684	0.10917	0.17757
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06824	0.10952	0.17776
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06844	0.1093	0.17773
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06815	0.10913	0.17728
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06847	0.10926	0.17773
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06829	0.10928	0.17757
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06833	0.1096	0.17793
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06822	0.10946	0.17768
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06832	0.10948	0.1778
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06855	0.10913	0.17768
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06812	0.1094	0.17752
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06849	0.1095	0.17799
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06836	0.10935	0.17771
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06816	0.10948	0.17764
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06844	0.10916	0.17761
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06836	0.10969	0.17806
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06855	0.1093	0.17785
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06821	0.10938	0.17759
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.0684	0.10931	0.1777
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.1051	0.05586	0.16096
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10507	0.05592	0.16099
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10524	0.05588	0.16111
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10511	0.05599	0.16109
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10543	0.05586	0.16129
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10511	0.05611	0.16122
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.1049	0.05592	0.16082
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.1047	0.05579	0.16048
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.1051	0.05595	0.16105
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10501	0.05596	0.16097
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10508	0.05593	0.16101
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.1049	0.05588	0.16079
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10504	0.05584	0.16088
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10507	0.0559	0.16097
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10489	0.05583	0.16072
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10475	0.05569	0.16044
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10495	0.05604	0.16099
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10501	0.05563	0.16063
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10477	0.05603	0.1608
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10526	0.05586	0.16112
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10525	0.05576	0.16101
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.1052	0.05566	0.16087
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10508	0.05576	0.16084
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10535	0.0559	0.16125
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10503	0.05589	0.16092
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10523	0.05585	0.16108
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10505	0.0559	0.16095
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10489	0.05587	0.16076
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10488	0.05607	0.16095
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10515	0.05589	0.16104
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10517	0.05586	0.16103
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10514	0.05603	0.16117
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10508	0.05584	0.16092
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10497	0.05587	0.16084
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10488	0.05583	0.16071
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10509	0.05604	0.16112
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10513	0.05597	0.16109
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.1052	0.05601	0.1612
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10486	0.05588	0.16074
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10525	0.05578	0.16103
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10479	0.05604	0.16083
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10498	0.05588	0.16086
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.105	0.05601	0.16101
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10498	0.05607	0.16105
