aw	as	a	analysis	b	w	method
0.144397	0.019503	0.155709	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.136494	0.0387237	0.164277	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.121892	0.0192718	0.140921	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0949475	0.0257888	0.116788	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0843203	0.0347474	0.116901	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.128049	0.0219925	0.145366	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.143891	0.0105891	0.14857	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.157649	0.0164962	0.172398	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.161248	9.27817e-5	0.17732	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.109314	0.0209081	0.12181	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.120937	0.0304052	0.143528	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.141116	0.0126731	0.150243	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.114192	0.0310162	0.147771	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.118006	0.0228153	0.144797	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.126857	0.0200031	0.136591	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.123932	0.0356179	0.162997	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.119146	0.0126643	0.136431	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.133579	0.0263172	0.157366	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0960816	0.0384339	0.133017	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0907619	0.0422946	0.129376	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.128442	0.013855	0.141199	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.145064	0.0231685	0.174954	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0618674	0.0709834	0.133296	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.110223	0.0106694	0.120159	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.116818	0.0244982	0.129368	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.101808	0.0328135	0.138292	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.164329	0.00417624	0.155525	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.131918	-0.00404074	0.129758	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.120426	0.026959	0.154566	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.140925	0.0274282	0.163675	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.12912	0.0098595	0.142604	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0989245	0.0549037	0.15344	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.110174	0.00687634	0.119303	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.140395	0.0110695	0.155804	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0983318	0.0360204	0.144426	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.103514	0.0290726	0.136798	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.149738	0.00277711	0.154058	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.117279	0.0177871	0.141656	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.133199	0.0124368	0.15078	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.135728	0.0268999	0.164382	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.110286	0.0236146	0.142201	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0901701	0.0333222	0.126257	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.104674	0.0198934	0.14301	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.137853	0.00477963	0.145973	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0975815	0.043208	0.142898	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0994098	0.0291717	0.132542	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0909749	0.0378487	0.131026	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.128049	0.0334278	0.155473	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.135083	0.0120131	0.150565	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0878491	0.028672	0.132675	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.144218	0.00431056	0.1469	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.134626	0.0118037	0.148029	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.13476	0.0293078	0.161958	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.123898	0.0263948	0.153326	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.168283	0.0101023	0.178653	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.183624	-0.00785932	0.171411	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.121622	0.010719	0.129031	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.112358	0.0347485	0.144538	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.12353	0.00928261	0.143307	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.113067	0.0420784	0.15847	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0738246	0.0520591	0.130443	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.136196	0.00811309	0.147118	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0885375	0.0294137	0.120795	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.12093	0.0171491	0.138435	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.093092	0.0588801	0.153691	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.131812	0.0436388	0.16776	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.108165	0.0358691	0.141568	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.143166	0.0116734	0.154996	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0980899	0.0242312	0.122149	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0964645	0.0329644	0.134213	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.138835	0.0274522	0.153015	isolation_0.4_0.3_0.2	0.2	0.3	ABC
