aw	as	a	gamNeg	shape	analysis	b	w	method
0.0965517	0.128601	0.214575	534.747	0.156927	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0974273	0.120893	0.199541	601.097	0.151119	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0398974	0.160567	0.190847	364.308	0.149583	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.107659	0.12631	0.210986	747.989	0.151279	isolation_0.4_0.2_0.2	0.2	0.2	ABC
-0.0104085	0.193261	0.182124	331.314	0.147687	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.189634	0.0715974	0.233191	482.334	0.16033	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.103471	0.104247	0.197362	443.328	0.148556	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0822279	0.113418	0.189872	800.1	0.147679	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.117562	0.103837	0.218467	416.835	0.154403	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.106862	0.119186	0.214033	646.004	0.154007	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.126941	0.109491	0.218732	487.928	0.158046	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.121551	0.119073	0.229001	798.149	0.163256	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.158301	0.113535	0.248193	756.919	0.168216	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.123472	0.0931598	0.211857	375.115	0.156691	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.116705	0.111063	0.221359	777.71	0.156865	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0449683	0.160406	0.193678	376.514	0.150368	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.107016	0.117685	0.219614	793.318	0.158355	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0381073	0.152834	0.183924	657.029	0.142289	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.115391	0.125045	0.219386	359.34	0.15559	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0629409	0.161119	0.209934	505.53	0.155977	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0546447	0.149744	0.189544	374.844	0.1496	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0986984	0.105477	0.196498	429.099	0.150657	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.114556	0.118872	0.203653	668.041	0.15012	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0546523	0.162695	0.200593	342.327	0.153684	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0602012	0.155256	0.204073	744.121	0.151096	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0451856	0.176064	0.204317	362.644	0.154424	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0581465	0.168881	0.201957	348.344	0.155085	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.130284	0.125627	0.24505	759.915	0.167257	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.043602	0.153721	0.197959	744.792	0.146829	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0353581	0.185998	0.201026	758.92	0.153019	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0967316	0.108495	0.191468	744.053	0.144898	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.114699	0.121532	0.230083	426.15	0.161354	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0540832	0.163662	0.212782	371.986	0.155231	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0629119	0.169942	0.218675	331.812	0.15837	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.138652	0.108048	0.231086	409.837	0.161786	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0339988	0.163964	0.186643	295.17	0.151255	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0521098	0.151697	0.194699	371.013	0.150674	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.079204	0.138628	0.207284	794.663	0.153003	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.079044	0.136462	0.206737	494.183	0.152954	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0950606	0.117873	0.198602	754.325	0.152697	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.132018	0.0989958	0.217722	775.866	0.155446	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0950504	0.131283	0.225002	724.409	0.160825	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0553177	0.147983	0.189338	730.871	0.1508	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.113167	0.125366	0.217233	741.343	0.159278	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.113688	0.1234	0.212279	708.03	0.156105	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0716759	0.13457	0.206406	363.947	0.153217	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.110908	0.105156	0.215133	752.238	0.156946	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0821888	0.129567	0.202726	353.354	0.153075	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.107788	0.122954	0.218029	436.332	0.160627	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0792649	0.130354	0.199108	514.319	0.151434	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.146665	0.0986554	0.239666	784.045	0.16257	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0563831	0.153954	0.19637	600.678	0.151488	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.054757	0.183629	0.229598	745.645	0.159725	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.094974	0.144346	0.225773	721.839	0.164407	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0911785	0.138329	0.217692	535.588	0.1567	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0994021	0.125671	0.214504	397.742	0.156106	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.143104	0.0972804	0.225616	421.64	0.158414	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0336824	0.15851	0.185437	746.629	0.14433	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.160929	0.078565	0.228047	412.825	0.156108	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0124444	0.191978	0.196802	542.069	0.148846	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.174983	0.082333	0.245125	418.903	0.164104	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0730726	0.134615	0.20054	361.606	0.150829	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0433319	0.168227	0.205401	333.819	0.152824	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.134272	0.118239	0.242667	760.565	0.167296	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0948885	0.117782	0.204916	406.116	0.153631	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.120621	0.102756	0.201842	753.534	0.152318	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0933267	0.123174	0.210101	368.005	0.152788	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.103199	0.125427	0.223379	684.574	0.161029	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0698269	0.151053	0.202497	721.868	0.15103	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0470992	0.150902	0.193828	394.182	0.148888	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0968712	0.0995395	0.200484	606.506	0.148973	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.137998	0.0425007	0.170772	520.702	0.142662	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.168851	0.0667943	0.209811	755.537	0.155484	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.163027	0.0613391	0.208491	621.694	0.156583	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0904498	0.0894339	0.168312	794.354	0.147774	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.134648	0.0669054	0.19356	437.039	0.152712	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.136857	0.05427	0.183218	835.134	0.144941	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.12338	0.0682888	0.186339	433.395	0.150445	isolation_0.4_0.3_0.2	0.2	0.3	ABC
