aw	as	a	gamNeg	shape	analysis	b	w	method
0.129277	0.0398376	0.169634	484.298	0.168477	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0995634	0.0119632	0.118561	926.345	0.163105	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.113814	0.0261295	0.143171	854.26	0.172366	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0681174	0.0193556	0.0966468	808.321	0.155317	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0932621	0.0399296	0.135514	443.668	0.168652	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0625365	0.0277401	0.0912937	819.999	0.155191	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0533839	0.0391773	0.0899563	485.193	0.155971	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.100396	0.0261603	0.122891	469.387	0.166492	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0494511	0.0551776	0.110356	429.388	0.161921	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0731146	0.0222951	0.0875724	831.294	0.156957	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0536252	0.0666517	0.122599	412.767	0.16593	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0751429	0.0430684	0.125896	458.267	0.165378	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0856639	0.0275922	0.106696	490.426	0.158783	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.037621	0.0816104	0.11519	851.362	0.164744	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.101146	0.032681	0.134863	832.84	0.169009	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0983281	0.0341923	0.134127	474.483	0.165961	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0906826	0.0358607	0.123169	415.058	0.167414	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0117862	0.101645	0.114882	574.501	0.166548	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0827139	0.0429103	0.12862	855.527	0.16867	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0648597	0.0595395	0.121007	487.878	0.167509	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0727072	0.0499785	0.116742	820.454	0.164657	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0503815	0.0409478	0.10048	829.903	0.157095	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0572653	0.0607283	0.115191	777.321	0.161768	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0494656	0.063665	0.114168	453.127	0.162389	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0820486	0.0349312	0.116815	842.802	0.163192	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0595413	0.0579764	0.118653	428.89	0.166874	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0753292	0.048502	0.11338	453.447	0.163035	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0581149	0.0593086	0.112823	817.093	0.163452	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0828241	0.0646408	0.138247	473.839	0.168931	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0815164	0.0306977	0.110595	877.581	0.158484	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0567988	0.0445038	0.104134	838.544	0.158783	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0866718	0.0221973	0.106801	796.129	0.159139	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0709423	0.0541779	0.123109	488.344	0.166066	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0687575	0.0413556	0.111506	457.322	0.163805	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0674187	0.0437597	0.108678	827.572	0.163456	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0354645	0.0885419	0.119692	407.94	0.166923	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0769842	0.0444191	0.116833	802.636	0.163815	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0396772	0.0741978	0.115056	805.835	0.162935	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0975045	0.0306138	0.128478	461.843	0.167392	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0620872	0.0356527	0.103806	660.63	0.160479	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0969596	0.0203615	0.120277	755.241	0.163816	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0920831	0.0383932	0.125961	844.505	0.164274	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0762027	0.0492343	0.125571	398.583	0.169755	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0845342	0.0121741	0.0889071	653.536	0.152339	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0824964	0.0369578	0.123048	796.896	0.164869	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.107179	0.0309201	0.13402	833.792	0.172585	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0683285	0.0280008	0.103773	442.11	0.156716	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0674826	0.0486153	0.119772	845.582	0.165857	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0935716	0.020821	0.117549	509.277	0.163172	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.115593	0.0242081	0.132575	767.981	0.17113	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.086609	0.0276762	0.108367	816.705	0.161041	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0811507	0.0495223	0.126481	841.1	0.167129	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0637617	0.0603482	0.117343	427.254	0.164441	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0798892	0.022985	0.097582	845.023	0.160015	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0930125	0.0171223	0.113807	836.235	0.160658	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.020588	0.0863041	0.107196	491.545	0.164694	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0416387	0.0368754	0.0817358	824.184	0.156302	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0865116	0.0645053	0.144419	439.582	0.17615	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.076481	0.0389211	0.112025	808.622	0.160488	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.0653275	0.0639378	0.128533	452.482	0.169692	noDemog_0.4_0.3_0.2	0.2	0.3	abc
0.116342	0.0362386	0.131053	812.357	0.166172	noDemog_0.4_0.3_0.2	0.2	0.3	abc
