method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0770077	0.152255	0.226211	389.937	0.160319
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0949017	0.117109	0.204306	423.488	0.151704
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.012088	0.176068	0.171767	407.185	0.14448
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0562446	0.148894	0.193059	735.924	0.149888
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.11546	0.108851	0.212068	393.709	0.154778
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0437644	0.183587	0.197469	624.593	0.153602
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0652921	0.148663	0.206526	323.629	0.154237
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0863284	0.140101	0.210744	705.886	0.156588
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0865702	0.130679	0.21178	370.278	0.153846
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0822877	0.138872	0.209183	400.888	0.152877
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0522306	0.152501	0.208564	392.306	0.15579
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0176621	0.195829	0.202855	475.627	0.153825
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0614785	0.154158	0.218349	363.441	0.154378
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0668001	0.146766	0.20452	773.199	0.153352
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.100485	0.129373	0.210594	797.803	0.152701
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0458895	0.181799	0.193513	421.07	0.150298
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0584922	0.1498	0.199589	722.364	0.151785
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0302113	0.178884	0.198602	759.457	0.152636
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.100699	0.116543	0.213537	354.248	0.151416
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0922859	0.129043	0.217912	599.659	0.155049
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.130093	0.103025	0.205715	359.5	0.151625
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0961731	0.128959	0.206312	572.618	0.151536
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0605383	0.159795	0.210659	735.819	0.155839
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.053669	0.170736	0.208697	740.437	0.156124
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.00505618	0.179437	0.185373	732.637	0.147437
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0311594	0.183567	0.195035	376.012	0.148865
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0915185	0.131224	0.214318	536.193	0.156293
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.115417	0.0916909	0.19882	808.53	0.149269
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0667251	0.133707	0.195595	739.976	0.149621
