method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.130383	0.0792515	0.201483	471.705	0.182795
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0873913	0.0919223	0.181319	445.975	0.174255
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0953598	0.102387	0.198534	469.607	0.182268
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0874213	0.09389	0.180566	790.673	0.175251
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.125056	0.104373	0.217137	588.627	0.187701
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.135781	0.083208	0.224087	478.231	0.180786
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.084306	0.113255	0.197341	835.042	0.182505
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0906725	0.0982277	0.190064	823.669	0.178188
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0893106	0.0945246	0.174076	430.279	0.175907
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.102713	0.103559	0.193506	435.387	0.179608
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.11938	0.0866324	0.197949	829.911	0.176764
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0864122	0.0943778	0.18649	807.183	0.173575
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0980944	0.0457581	0.137116	526.264	0.168127
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.12037	0.0594916	0.16657	588.599	0.181502
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0690951	0.0503535	0.115311	643.316	0.160456
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.081933	0.0777509	0.156648	423.198	0.173824
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0621797	0.067462	0.116371	802.656	0.163575
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0631202	0.0591776	0.107147	436.985	0.161974
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0720022	0.0726181	0.143028	392.253	0.172232
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0527327	0.0673221	0.113741	430.253	0.164884
