f	alphas	B	alphaW	sfs	analysis	time
0.5151515151515151	0.20537137647431625	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.5252525252525253	0.20703960507329466	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.5353535353535354	0.20726881923497276	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.5454545454545454	0.20876574412342597	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.5555555555555556	0.20793104851376432	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.5656565656565656	0.2096512563518912	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.5757575757575758	0.20690684331671738	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.5858585858585859	0.2048644233401773	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.5959595959595959	0.2041887373833926	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.6060606060606061	0.20409861832620468	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.6161616161616161	0.2086738569047254	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.6262626262626263	0.20991742736018693	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.6363636363636364	0.2124377580197544	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.6464646464646465	0.2155459037901587	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.6565656565656566	0.2177660168755442	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.6666666666666666	0.21652852082626317	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.6767676767676768	0.21603853509189186	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.6868686868686869	0.21745977848028197	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.696969696969697	0.21392607605198166	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.7070707070707071	0.21630646721478775	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.7171717171717171	0.2163533054725585	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.7272727272727273	0.2154224892976484	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.7373737373737373	0.21529442464551118	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.7474747474747475	0.2116589257292678	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.7575757575757576	0.21184421107292084	0.999	0.1	All alleles	Expansion strength = 5.0	1
