f	alphas	B	alphaW	sfs	path	analysis
0.13613613613613615	0.06618212374587229	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.13713713713713713	0.06707762456212418	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.13813813813813813	0.06862067034638242	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.13913913913913914	0.0699818511853777	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.14014014014014015	0.07126716963214996	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.14114114114114115	0.07100817482211186	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.14214214214214213	0.07139975161629519	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.14314314314314314	0.07269929044535428	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.14414414414414414	0.0734685454336147	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.14514514514514515	0.0744813330548314	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.14614614614614616	0.07427978850076666	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.14714714714714713	0.07515621045893084	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.14814814814814814	0.07567113379268742	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.14914914914914915	0.07681290557495923	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.15015015015015015	0.07712442651660678	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.15115115115115116	0.07744962141833545	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.15215215215215216	0.07935372913388916	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.15315315315315314	0.07899701264746495	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.15415415415415415	0.08020455940698468	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.15515515515515516	0.08041086347821158	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.15615615615615616	0.08031958114320015	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.15715715715715717	0.07994225046506687	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.15815815815815815	0.08074514302529179	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.15915915915915915	0.08009816040208306	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
