f	alphas	B	alphaW	sfs	path
53	0.3154852584315879	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
54	0.3163414465564076	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
55	0.3188088560046619	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
56	0.31894960676381334	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
57	0.31728652028937676	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
58	0.3193830284443828	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
59	0.31966274159855235	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
60	0.3182459993525777	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
61	0.31922700732646314	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
62	0.32269688542522323	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
63	0.3184970720635464	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
64	0.31874637084325386	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
65	0.3187307738766414	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
66	0.3198732216246726	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
67	0.3180461668696565	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
68	0.3184317945876296	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
69	0.31764352490760916	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
70	0.31832292217698954	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
71	0.320084121376939	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
72	0.3199524969242029	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
73	0.32215755564741677	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
74	0.32063206029978	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
75	0.3211717121923253	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
76	0.3209021588529112	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
77	0.3180591062219491	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
78	0.31797172401187557	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
79	0.3180610685694867	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
80	0.3135993787539818	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
81	0.3095270391068544	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
82	0.30761172478621057	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
