f	alphas	B	alphaW	sfs	path	analysis
0.1921921921921922	0.06116706260640148	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1931931931931932	0.060400580113653235	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1941941941941942	0.06112839911253465	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.19519519519519518	0.06137765478857127	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1961961961961962	0.06266031083373347	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1971971971971972	0.06242947991223746	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1981981981981982	0.062637550869172	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1991991991991992	0.06168836313775217	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2002002002002002	0.06386580644446349	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2012012012012012	0.06509047578460536	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2022022022022022	0.06607350381306265	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2032032032032032	0.0677576215325687	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2042042042042042	0.06653302179431098	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.20520520520520522	0.0661512952433464	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2062062062062062	0.06738666105945912	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2072072072072072	0.0669028927936215	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2082082082082082	0.06751346641181544	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2092092092092092	0.06770605483440295	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.21021021021021022	0.06745727580563488	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.21121121121121122	0.06756990196601986	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2122122122122122	0.06859634779233936	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2132132132132132	0.0692165509931062	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.21421421421421422	0.0682122231930814	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.21521521521521522	0.06867233225581948	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.21621621621621623	0.0684885818209573	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2172172172172172	0.06907830583179186	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2182182182182182	0.06855922269403825	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.21921921921921922	0.0685783527517202	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.22022022022022023	0.06934204186793247	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.22122122122122123	0.06929570619085679	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.2222222222222222	0.06713255357638104	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.22322322322322322	0.06705993178045266	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
