method	w	b	analysis	aw	as	a
ABC	0.1	0.999	twoepochs_s1	0.136147	0.131714	0.25604
ABC	0.1	0.999	twoepochs_s1	0.0743631	0.170419	0.234253
ABC	0.1	0.999	twoepochs_s1	0.181954	0.139707	0.30222
ABC	0.1	0.999	twoepochs_s1	0.120534	0.129756	0.243769
ABC	0.1	0.999	twoepochs_s1	0.136017	0.14814	0.276578
ABC	0.1	0.999	twoepochs_s1	0.156782	0.137376	0.27442
ABC	0.1	0.999	twoepochs_s1	0.0884095	0.160128	0.240798
ABC	0.1	0.999	twoepochs_s1	0.116771	0.158641	0.260513
ABC	0.1	0.999	twoepochs_s1	0.113449	0.143379	0.260616
ABC	0.1	0.999	twoepochs_s1	0.188838	0.115946	0.301836
ABC	0.1	0.999	twoepochs_s1	0.104689	0.15458	0.260438
ABC	0.1	0.999	twoepochs_s1	0.138824	0.152316	0.282244
ABC	0.1	0.999	twoepochs_s1	0.177483	0.115477	0.281024
ABC	0.1	0.999	twoepochs_s1	0.215582	0.121934	0.301136
ABC	0.1	0.999	twoepochs_s1	0.139361	0.13549	0.262419
ABC	0.1	0.999	twoepochs_s1	0.183696	0.118685	0.290936
ABC	0.1	0.999	twoepochs_s1	0.124305	0.155124	0.260092
ABC	0.1	0.999	twoepochs_s1	0.124431	0.141049	0.260334
ABC	0.1	0.999	twoepochs_s1	0.126669	0.161994	0.276641
ABC	0.1	0.999	twoepochs_s1	0.122138	0.144244	0.257107
ABC	0.1	0.999	twoepochs_s1	0.165561	0.127282	0.277149
ABC	0.1	0.999	twoepochs_s1	0.0862744	0.159539	0.235493
ABC	0.1	0.999	twoepochs_s1	0.143739	0.153963	0.274015
ABC	0.1	0.999	twoepochs_s1	0.173773	0.130943	0.29777
ABC	0.1	0.999	twoepochs_s1	0.189678	0.122482	0.298173
ABC	0.1	0.999	twoepochs_s1	0.120032	0.155347	0.274664
ABC	0.1	0.999	twoepochs_s1	0.178594	0.143593	0.311529
ABC	0.1	0.999	twoepochs_s1	0.150601	0.135347	0.272679
ABC	0.1	0.999	twoepochs_s1	0.149765	0.148929	0.273941
ABC	0.1	0.999	twoepochs_s1	0.171596	0.131764	0.281953
ABC	0.1	0.999	twoepochs_s1	0.19005	0.128591	0.291333
ABC	0.1	0.999	twoepochs_s1	0.148376	0.133037	0.281671
ABC	0.1	0.999	twoepochs_s1	0.170074	0.114844	0.274958
ABC	0.1	0.999	twoepochs_s1	0.171633	0.12209	0.280031
ABC	0.1	0.999	twoepochs_s1	0.121871	0.159096	0.269271
ABC	0.1	0.999	twoepochs_s1	0.12891	0.158915	0.270112
ABC	0.1	0.999	twoepochs_s1	0.169243	0.130616	0.289853
ABC	0.1	0.999	twoepochs_s1	0.139265	0.141231	0.273309
ABC	0.1	0.999	twoepochs_s1	0.14863	0.12927	0.27893
ABC	0.1	0.999	twoepochs_s1	0.115957	0.158011	0.267268
ABC	0.1	0.999	twoepochs_s1	0.168951	0.12598	0.289992
ABC	0.1	0.999	twoepochs_s1	0.128925	0.151236	0.256678
ABC	0.1	0.999	twoepochs_s1	0.132691	0.145399	0.273645
ABC	0.1	0.999	twoepochs_s1	0.149746	0.130533	0.269016
ABC	0.1	0.999	twoepochs_s1	0.12931	0.147327	0.267236
ABC	0.1	0.999	twoepochs_s1	0.174587	0.127708	0.300906
ABC	0.1	0.999	twoepochs_s1	0.17087	0.124839	0.281268
ABC	0.1	0.999	twoepochs_s1	0.146741	0.145555	0.280358
ABC	0.1	0.999	twoepochs_s1	0.171587	0.113648	0.274635
ABC	0.1	0.999	twoepochs_s1	0.155295	0.127055	0.265751
ABC	0.1	0.999	twoepochs_s1	0.149529	0.150148	0.288212
ABC	0.1	0.999	twoepochs_s1	0.142816	0.132963	0.271747
ABC	0.1	0.999	twoepochs_s1	0.156666	0.133094	0.276462
ABC	0.1	0.999	twoepochs_s1	0.107851	0.150213	0.255266
ABC	0.1	0.999	twoepochs_s1	0.163729	0.127158	0.285134
ABC	0.1	0.999	twoepochs_s1	0.12159	0.136479	0.248777
ABC	0.1	0.999	twoepochs_s1	0.128704	0.140057	0.258711
ABC	0.1	0.999	twoepochs_s1	0.151671	0.127416	0.2672
ABC	0.1	0.999	twoepochs_s1	0.194372	0.112849	0.301201
ABC	0.1	0.999	twoepochs_s1	0.137125	0.149402	0.261776
ABC	0.1	0.999	twoepochs_s1	0.129453	0.138458	0.254874
ABC	0.1	0.999	twoepochs_s1	0.163228	0.122807	0.276362
